Symbol,Name,Sector,Current Price,Market Cap,PE Ratio,Dividend Yield,Error
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,44.64,2146353664,14.8305645,N/A,
AMPL,"Amplitude, Inc.",Technology,10.81,1380264064,N/A,N/A,
AMRK,"A-Mark Precious Metals, Inc.",Financial Services,30.23,700855360,12.389344,0.026500002,
AMRN,Amarin Corporation plc,Healthcare,0.529,217597792,N/A,N/A,
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,8.38,3871233280,N/A,N/A,
AMSC,American Superconductor Corporation,Industrials,34.61,1365475328,N/A,N/A,
AMSF,"AMERISAFE, Inc.",Financial Services,58.6,1116329984,18.255451,0.0253,
AMST,Amesite Inc.,Technology,2.36,6590158,N/A,N/A,
AMTX,"Aemetis, Inc.",Energy,4.14,205901232,N/A,N/A,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,201.45,2118246727680,43.137043,N/A,
ANAB,"AnaptysBio, Inc.",Healthcare,24.1,733331712,N/A,N/A,
ANDE,"The Andersons, Inc.",Consumer Defensive,49.1,1672836992,14.068768,0.0155,
ANEB,"Anebulo Pharmaceuticals, Inc.",Healthcare,1.4,36306480,N/A,N/A,
ANGH,Anghami Inc.,Communication Services,0.7296,48660744,N/A,N/A,
ANGI,Angi Inc.,Communication Services,1.98,984592640,24.75,N/A,
ANGO,"AngioDynamics, Inc.",Healthcare,6.99,284033056,N/A,N/A,
ANIK,"Anika Therapeutics, Inc.",Healthcare,17.2,251904336,N/A,N/A,
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,58.64,1232483840,N/A,N/A,
ANIX,"Anixa Biosciences, Inc.",Healthcare,3.22,103617992,N/A,N/A,
ANL,Adlai Nortye Ltd.,Healthcare,2.31,85239688,N/A,N/A,
ANNX,"Annexon, Inc.",Healthcare,5.1,543629376,N/A,N/A,
ANSC,Agriculture & Natural Solutions Acquisition Corporation,Financial Services,10.43,449793760,40.115387,N/A,
ANSS,"ANSYS, Inc.",Technology,352.14,30794643456,54.342594,N/A,
ANTE,AirNet Technology Inc.,Communication Services,0.4886,6990791,0.13880682,N/A,
ANTX,"AN2 Therapeutics, Inc.",Healthcare,1.39,41531672,N/A,N/A,
ANY,Sphere 3D Corp.,Financial Services,1.29,27397278,N/A,N/A,
AOSL,Alpha and Omega Semiconductor Limited,Technology,40.36,1171683072,N/A,N/A,
AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,9.57,122823288,N/A,N/A,
APA,APA Corporation,Energy,22.67,8386698752,3.2201705,0.044099998,
APC,N/A,N/A,N/A,N/A,N/A,N/A,
APCX,AppTech Payments Corp.,Technology,0.47,12993714,N/A,N/A,
APDN,"Applied DNA Sciences, Inc.",Healthcare,0.1598,8133292,N/A,N/A,
APEI,"American Public Education, Inc.",Consumer Defensive,20.47,362566688,38.622643,N/A,
APGE,"Apogee Therapeutics, Inc.",Healthcare,43.85,2495192064,N/A,N/A,
API,"Agora, Inc.",Technology,4.76,437801024,N/A,N/A,
APLD,Applied Digital Corporation,Technology,10.68,2256107264,N/A,N/A,
APLM,"Apollomics, Inc.",Healthcare,9.67,10662722,N/A,N/A,
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,31.91,3969380608,N/A,N/A,
APLT,"Applied Therapeutics, Inc.",Healthcare,9.59,1115854080,N/A,N/A,
