Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,USD,NYQ,https://www.ambev.com.br,2.21,34759323648,17944190976,14.733333,12.250555,N/A,0.3541667,0.42180327,6.24,5.236,0.088,-0.114,0.28603,0.50983,0.23856,0.16922002,0.15,0.0683,0.8315,4.06,1703203200,12533468160,26133768192,20939038720,1.331,3380272896,N/A,3.418,1.196,0.827,0.552,3.0,2.01,26260478,6127340,N/A,-0.20503598,0.00023,0.32683998,2.54,5.0,2.0,3.01389,2.2,9,0.086540006,0.15071,0.761,0.15,0.19,82406481920
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,USD,NYQ,https://www.asburyauto.com,258.18,5057100800,10067690496,14.49635,9.457264,N/A,1.5040108,0.30656898,171.661,815.614,0.156,-0.222,0.06365,0.17409,0.054920003,0.02164,N/A,N/A,N/A,N/A,1217376000,-426500000,500200000,88700000,4.528,5099299840,N/A,151.657,1.197,0.213,1.165,277.13,195.09,216854,85577,N/A,0.21673977,0.0053100004,1.15667,11.76,305.0,220.0,258.125,2.66667,8,0.06628,0.108,9.588,17.81,27.69,16495800320
ABEQ,Absolute Select Value ETF,N/A,N/A,N/A,USD,PCX,N/A,N/A,N/A,N/A,23.164139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.29,27.43,5484,2464,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABL,"Abacus Life, Inc.",Financial Services,Insurance - Life,United States,USD,NCM,https://abacuslife.com,8.34,622821184,782817536,N/A,10.109091,N/A,2.4145918,6.081803,3.454,1.547,0.333,N/A,0.27231002,0.90904,0.23292999,-0.116459996,N/A,N/A,N/A,N/A,N/A,31597312,-131117952,22428670,0.3,182516832,N/A,70.76,1.291,1.204,0.148,13.25,6.22,85017,41333,N/A,0.27914107,0.83114,0.17809999,12.63,16.0,12.0,13.875,1.25,4,0.03358,-0.05789,28.072,-0.22,0.81,102407328
ABLLL,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",N/A,N/A,N/A,USD,NGM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.478,24.26,3310,1092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABLV,Able View Global Inc.,Communication Services,Advertising Agencies,China,USD,NCM,https://www.ableview.com,0.885,37062384,39805492,3.6875,N/A,N/A,3.2656827,0.24874112,0.271,3.776,-0.203,0.001,0.090900004,0.24837999,0.0779,0.06544,N/A,N/A,N/A,N/A,N/A,16094051,23573330,13328156,0.316,15858496,N/A,138.92,3.101,1.823,2.873,3.94,0.67,15485,16534,N/A,-0.68727916,0.40058997,0.39738998,1.08,N/A,N/A,N/A,N/A,N/A,0.15203,1.15065,2.939,0.24,N/A,148999824
ABLVW,Able View Global Inc.,Communication Services,Advertising Agencies,China,USD,NCM,https://www.ableview.com,0.0189,N/A,N/A,N/A,N/A,N/A,0.069741696,N/A,0.271,3.776,-0.203,0.001,0.090900004,0.24837999,0.0779,0.06544,N/A,N/A,N/A,N/A,N/A,16094051,23573330,13328156,0.316,15858496,N/A,138.92,3.101,1.823,2.873,0.0189,0.0189,N/A,300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15203,1.15065,N/A,N/A,N/A,148999824
ABLLW,"Abacus Life, Inc.",N/A,N/A,N/A,USD,NCM,N/A,1.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3315,1.28,N/A,4237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,United States,USD,NYQ,https://www.abm.com,55.01,3454149376,4827247104,22.731403,15.015572,N/A,1.8821638,0.41742492,29.227,129.802,0.033,-0.952,0.04476,0.13508001,0.017860001,0.01884,0.9,0.0164,0.3698,1.86,1727913600,257587504,335500000,86300000,1.374,1459399936,N/A,79.531,1.383,1.253,1.132,59.78,39.64,506848,223529,N/A,0.3245846,0.01387,0.94113,2.63,63.0,55.0,57.5,N/A,6,0.03265,0.08438,13.033,2.42,3.66,8274899968
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,USD,NMS,https://www.airbnb.com,132.5,82782281728,73788243968,46.006943,30.186495,N/A,9.959411,7.6367416,13.304,17.057,0.099,-0.678,0.15434,0.83072,0.40862998,0.16956,N/A,N/A,N/A,N/A,N/A,3363000064,4115000064,11253000192,18.011,2259000064,N/A,26.614,1.616,1.008,1.156,170.1,110.38,4317459,4744693,N/A,0.021588326,0.00826,0.79839,4.72,195.0,85.0,137.36667,2.84783,36,0.046630003,0.20873,44.105,2.88,4.5,10840000512
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,NMS,https://acumenpharm.com,2.4,144191520,-26163532,N/A,-1.5711845,N/A,0.66390043,N/A,3.615,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-41690752,-67314000,200343008,3.335,29988000,N/A,13.807,10.426,10.06,0.039,5.09,2.08,190859,296338,N/A,0.016949177,0.11236,0.78492,7.19,15.0,6.0,10.8,1.16667,5,-0.20987,-0.32834998,0.282,-1.11,-1.53,N/A
ABNY,N/A,N/A,N/A,N/A,USD,PCX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.49,14.91,23349,26622,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,USD,NYQ,https://www.abbott.com,115.9,201023913984,208513449984,35.227962,22.464506,N/A,5.0514297,4.8772087,22.944,23.682,0.049,0.146,0.26263002,0.55907,0.18749,0.13992,2.2,0.019,0.65650004,1.65,1728950400,6404874752,8728000512,7788000256,4.49,15045999616,N/A,37.589,1.597,0.996,0.722,121.64,98.95,4882296,4971712,N/A,0.14525688,0.0053100004,0.77285004,2.83,149.0,104.0,129.87125,1.77778,24,0.06488,0.14840001,19.262,3.29,5.16,41216999424
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,United States,USD,NYQ,https://arbor.com,14.56,2746147072,13234761728,10.947369,9.254257,N/A,1.1442044,4.2225423,12.725,3.448,-0.096,-0.25,N/A,0.90897006,0.48544,0.45586,1.72,0.1181,1.2932,10.53,1731628800,N/A,491998016,689452032,3.655,10414654464,N/A,329.226,4.289,4.116,2.014,16.35,11.77,2529960,2695683,N/A,0.1741935,0.02464,0.61016,27.28,16.5,13.0,14.54167,3.0,6,0.021389998,0.09948,N/A,1.33,1.53,650353984
ABSI,Absci Corporation,Healthcare,Biotechnology,United States,USD,NMS,https://www.absci.com,2.84,326191040,211111360,N/A,-3.8904107,N/A,1.6108905,77.53531,1.763,0.04,1.286,N/A,N/A,N/A,-16.98707,N/A,N/A,N/A,N/A,N/A,N/A,-36257124,-70360000,127068000,1.106,11989000,N/A,5.955,5.626,4.817,2.187,6.72,1.33,990987,2427769,N/A,0.94520545,0.20087999,0.62423,15.79,13.0,6.0,8.28571,1.625,7,-0.27396,-0.4911,-2.353,-0.93,-0.71,4207000
